x,y,z
59648.45,1009,32300
59937.19,881,30835
95275.15,1153,10952
68823.49,1112,41730
65714.12,1020,23112
"65,801,112,435,635",0,
81580.49,1134,10018
62401.61,1070,20109
69841.16,985,11910
73876.57,1014,35555
62187.09,1009,30331
83782.23,1110,11130
89815.48,999,28310
56695.39,808,8366
63797.48,1020,9480
76295.38,1098,37600
68832.25,1014,35410
83716.34,1337,48090
74630.57,1092,39791
74666.57,1005,30760
65610.54,1041,14900
72916.57,1098,34935
48782.99,942,9220
77607.85,1210,12485
72221.8,1097,12772
79524.13,1364,15192
73425.96,1139,16536
59119.77,857,8226
71508.51,982,34428
80995.13,1395,46417
63170.67,978,8688
56952.77,970,7866
63843.36,1067,8380
67848.44,1205,37990
71872.75,996,28087
65366.76,1117,37950
61347.58,1047,33194
72206.46,1145,37086
70785.55,1192,39690
59374.31,1062,26382
"63,710,103,911,967",0,
69752.4,1258,11839
66707.46,1114,8611
70542.39,1314,46138
53018.22,907,26500
50707.64,994,26100
41360.98,994,6902
46441.47,928,27492
42179.08,962,6620
45141.01,1028,6814
62744.63,995,6830
48790.55,927,6662
"468,629,846,702",0,
54372.93,1015,28792
57483.6,1078,7632
49606.73,1032,28030
58784.16,910,25660
64348.07,1028,27540
73362.92,1087,29535
76392.24,1145,38375
64715.84,1066,27100
68115.77,1050,26550
62779.58,907,25050
63695.21,950,27210
75591.25,1219,37170
68757.09,1248,36540
62361.14,902,26760
66802.94,1105,36514
71321.9,1125,34237
56953.94,1090,25050
67955.05,1050,7637
64551.11,1110,8822
63413.11,1070,7824
"6,437,411,308,832",0,
69126.34,1101,27040
64650.08,1030,7487
64274.59,970,7341
65020.23,1030,9203
53835.5,990,8036
71185.17,1300,10415
65921.14,1050,9429
61602.16,1090,7488
69159.98,1050,7937
62211.59,1050,7672
56061.18,1122,4892
80275.59,1479,46320
68624.95,1231,10002
65255.68,1285,6916
72827.06,955,7269
69752.4,1037,11758
69752.4,966,11905
61067.78,1003,20790
69074.33,1091,9684
69074.33,1113,9684
62394.85,1081,6118
80999.86,988,11324
80999.86,1046,11324
80999.86,1009,11334
70283.94,1231,27800
76621.08,1025,13208
72612.62,1098,18479
50250.04,925,15140
